X,Y,OBJECTID,REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,POSTAL_CODE,LATITUDE83,LONGITUDE83,HUC8_CODE,ACCURACY_VALUE,COLLECT_MTH_DESC,REF_POINT_DESC,CREATE_DATE,UPDATE_DATE,LAST_REPORTED_DATE,FAC_URL,PGM_SYS_ID,PGM_SYS_ACRNM,INTEREST_TYPE,PROGRAM_URL,PGM_REPORT_URL,PUBLIC_IND,ACTIVE_STATUS,FEDERAL_AGENCY_NAME,HUC_12,FEDERAL_LAND_IND,FED_FACILITY_CODE,EPA_REGION_CODE,KEY_FIELD
-90.018194415,32.618066857,33,110007646002,SOUTHEASTERN WOOD PRESERVING. INC.,COVINGTON DR,CANTON,MADISON,28089,MS,39046,32.618061,-90.018189,08060202,,,,2011/11/04 09:49:24+00,2015/12/11 00:04:43+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110007646002,MSD000828558,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,04,SEMSMSD000828558
-74.272501936,41.1366769520001,34,110009300112,RINGWOOD MINES/LANDFILL,PETERS MINE ROAD,RINGWOOD,PASSAIC,34031,NJ,07456,41.136669,-74.2725,02030103,,,,2002/02/28 19:30:24+00,2015/12/11 00:00:30+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009300112,NJD980529739,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,02,SEMSNJD980529739
-80.184702852,26.144404724,35,110009275480,WINGATE ROAD MUNICIPAL INCINERATOR DUMP,1300 N. W. 34TH AVENUE,FORT LAUDERDALE,BROWARD,12011,FL,33311,26.1444,-80.1847,03090202,,,,2002/02/28 15:39:03+00,2015/12/11 00:04:51+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009275480,FLD981021470,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,04,SEMSFLD981021470
-80.300141654,25.839585733,36,110012624507,B & B TRITECH INC,875 WEST 20TH STREET,HIALEAH,MIAMI DADE,12086,FL,33010-2310,25.839581,-80.300139,03090202,,,,2002/01/28 19:16:23+00,2015/12/11 00:05:34+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110012624507,FLD004574190,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,DELETED FROM THE FINAL NPL,,,,N,04,SEMSFLD004574190
-93.859173689,29.9608384160001,37,110064350349,STATE MARINE OF PORT ARTHUR,OLD YATCH CLUB ROAD ON PLEASURE ISLET,JEFFERSON COUNTY,JEFFERSON,48245,TX,77642,29.960833,-93.859167,12040201,,,,2002/02/28 22:16:29+00,2015/12/11 00:04:51+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110064350349,TXD099801102,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,DELETED FROM THE FINAL NPL,,,,N,06,SEMSTXD099801102
-86.5119551019999,42.0494578670001,38,110000409406,ROBERT BOSCH LLC-ST JOSEPH,3737 RED ARROW HIGHWAY,SAINT JOSEPH,BERRIEN,26021,MI,49085-9208,42.04945,-86.51195,04050001,,,,2002/02/28 18:16:24+00,2015/12/11 00:05:10+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000409406,MID005107222,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,05,SEMSMID005107222
-73.265751155,42.7971756370001,39,110008205156,POWNAL TANNING SITE,OFF ROUTE 346,POWNAL,BENNINGTON,50003,VT,05261,42.797167,-73.26575,02020003,,,,2002/02/28 23:01:10+00,2015/12/11 00:04:42+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110008205156,VTD069910354,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,01,SEMSVTD069910354
-85.74750514,42.9178083510001,40,110000614559,"ORGANIC CHEMICALS, INC.",3291 CHICAGO DRIVE SOUTHWEST,GRANDVILLE,KENT,26081,MI,49418-1003,42.9178,-85.7475,04050006,,,,2002/01/28 19:58:23+00,2015/12/11 00:04:49+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000614559,MID990858003,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,05,SEMSMID990858003
-73.7152863329999,41.457980519,41,110070550364,ARSENIC MINE,GIPSY TRAIL ROAD AND MT. NIMHAM ROAD,KENT,PUTNAM,36079,NY,10512,41.457972,-73.715285,02030101,,,,2019/09/16 00:00:00+00,2019/12/11 14:05:52+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070550364,NYD982531469,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,02,SEMSNYD982531469
-123.063314099,44.660005534,42,110000488035,ATI MILLERSBURG,1600 OLD SALEM RD NE,ALBANY,LINN,41043,OR,97321-4548,44.66,-123.0633,17090003,,,,2002/02/28 20:31:41+00,2015/12/11 00:05:50+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000488035,ORD050955848,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,10,SEMSORD050955848
